分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-05 19:18:28,2026-08-05,7203.T,トヨタ自動車,2914.5,-4.0,-0.14,52.5,37.293,41.54,2919.9,3233.0,2794.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,6758.T,ソニーグループ,3565.0,26.0,0.73,60.5,72.56,68.389,3489.2,3964.0,3306.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,8035.T,東京エレクトロン,58550.0,1850.0,3.26,28.8,-3489.653,-2499.178,65543.2,74810.0,48580.0,RSI 28.8（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,6861.T,キーエンス,87380.0,4480.0,5.4,67.6,1635.919,223.286,76968.0,87590.0,68930.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,9983.T,ファーストリテイリング,76870.0,-1830.0,-2.33,44.3,-856.341,-656.282,80743.2,88690.0,75440.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-05 19:18:28,2026-08-05,9432.T,NTT,151.0,0.6,0.4,52.0,1.346,1.634,150.7,161.2,147.6,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-05 19:18:28,2026-08-05,9433.T,KDDI,2856.5,-17.0,-0.59,50.4,46.242,57.741,2856.8,3121.0,2777.5,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,8306.T,三菱UFJフィナンシャルグループ,3541.0,71.0,2.05,42.5,59.475,91.696,3539.0,3813.0,3381.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-05 19:18:28,2026-08-05,8316.T,三井住友フィナンシャルグループ,6666.0,151.0,2.32,38.9,32.179,108.621,6845.8,7260.0,6420.0,RSI 38.9（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-05 19:18:28,2026-08-05,4502.T,武田薬品工業,5269.0,-17.0,-0.32,49.3,51.523,99.048,5461.1,5903.0,5225.0,ボックス下限タッチ＋下落（下抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,6098.T,リクルート,12720.0,305.0,2.46,52.1,312.644,390.706,12402.0,13320.0,11905.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-05 19:18:28,2026-08-05,7974.T,任天堂,7428.0,-130.0,-1.72,58.2,139.325,105.404,7266.0,8245.0,6905.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,6501.T,日立製作所,5476.0,64.0,1.18,78.9,155.84,85.52,4900.2,5527.0,4616.0,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 78.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,9984.T,ソフトバンクグループ,5958.0,730.0,13.96,45.5,-261.496,-297.741,5727.5,6660.0,4500.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,8058.T,三菱商事,4641.0,-97.0,-2.05,52.8,36.138,32.063,4620.9,4972.0,4361.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-05 19:18:28,2026-08-05,8001.T,伊藤忠商事,1978.5,-1.5,-0.08,58.0,29.535,28.063,1938.9,2048.5,1851.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,8053.T,住友商事,1720.5,58.0,3.49,66.1,19.045,3.871,1597.4,1720.5,1489.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-05 19:18:28,2026-08-05,8766.T,東京海上HD,7742.0,33.0,0.43,49.2,128.413,176.164,7823.4,8468.0,7450.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
