分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-27 20:01:20,2026-08-27,7203.T,トヨタ自動車,3077.0,7.0,0.23,60.9,40.907,37.373,3020.4,3192.0,2869.5,False,False,False,23.2,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-27 20:01:20,2026-08-27,6758.T,ソニーグループ,3870.0,-8.0,-0.21,64.0,87.448,84.312,3714.1,3964.0,3515.0,False,False,True,52.9,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-27 20:01:20,2026-08-27,8035.T,東京エレクトロン,56000.0,500.0,0.9,52.2,-2025.977,-2311.627,56808.8,61650.0,48650.0,False,False,False,41.4,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-27 20:01:20,2026-08-27,6861.T,キーエンス,82150.0,650.0,0.8,40.6,899.786,1454.597,81314.0,87920.0,77780.0,False,False,True,80.2,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-27 20:01:20,2026-08-27,9983.T,ファーストリテイリング,71540.0,-580.0,-0.8,16.2,-1981.496,-1488.446,76716.8,80270.0,71320.0,False,True,False,14.5,False,ボックス下限タッチ＋下落（下抜け警戒） / RSI 16.2（強い売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-08-27 20:01:20,2026-08-27,9432.T,NTT,168.2,-1.4,-0.83,76.2,4.277,3.494,159.0,170.0,149.7,False,False,False,38.1,False,RSI 76.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-27 20:01:20,2026-08-27,9433.T,KDDI,2880.5,-17.0,-0.59,48.1,9.487,12.188,2902.9,3121.0,2779.0,True,False,True,24.3,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-27 20:01:20,2026-08-27,8306.T,三菱UFJフィナンシャルグループ,3608.0,29.0,0.81,52.4,11.828,22.539,3596.0,3742.0,3415.0,True,False,True,86.4,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-27 20:01:20,2026-08-27,8316.T,三井住友フィナンシャルグループ,6794.0,62.0,0.92,50.5,-16.746,-3.188,6796.2,7035.0,6420.0,True,False,True,66.0,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-27 20:01:20,2026-08-27,4502.T,武田薬品工業,5809.0,-51.0,-0.87,72.6,106.01,90.55,5633.5,5906.0,5225.0,False,False,False,40.5,False,RSI 72.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
