分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-07 14:59:37,2026-08-07,7203.T,トヨタ自動車,2974.0,-9.5,-0.32,54.5,32.629,38.762,2937.5,3233.0,2794.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,6758.T,ソニーグループ,3699.0,73.0,2.01,62.8,73.572,69.724,3519.0,3964.0,3306.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8035.T,東京エレクトロン,54750.0,-580.0,-1.05,33.7,-3571.903,-2879.091,63876.8,74810.0,48580.0,RSI 33.7（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-07 14:59:37,2026-08-07,6861.T,キーエンス,85210.0,-320.0,-0.37,76.5,2290.577,925.668,77316.4,87920.0,68930.0,RSI 76.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,9983.T,ファーストリテイリング,79420.0,530.0,0.67,51.5,-685.543,-683.864,80474.4,86840.0,75440.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,9432.T,NTT,158.9,4.4,2.85,62.0,1.764,1.621,151.7,161.2,147.6,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,9433.T,KDDI,2959.5,58.5,2.02,57.4,42.841,52.264,2876.0,3121.0,2778.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,8306.T,三菱UFJフィナンシャルグループ,3560.0,-14.0,-0.39,55.0,49.727,77.422,3562.3,3813.0,3410.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8316.T,三井住友フィナンシャルグループ,6779.0,-2.0,-0.03,51.6,26.711,79.532,6868.0,7260.0,6420.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,4502.T,武田薬品工業,5524.0,99.0,1.82,51.6,44.04,79.115,5482.1,5903.0,5225.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-07 14:59:37,2026-08-07,6098.T,リクルート,13190.0,345.0,2.69,55.1,337.643,367.697,12517.0,13320.0,11905.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,7974.T,任天堂,7983.0,342.0,4.48,62.3,167.846,123.584,7326.3,8245.0,6905.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,6501.T,日立製作所,5589.0,89.0,1.62,88.0,191.356,120.602,4977.2,5605.0,4616.0,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 88.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,9984.T,ソフトバンクグループ,5540.0,-155.0,-2.72,51.5,-202.847,-266.853,5689.1,6660.0,4500.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8058.T,三菱商事,4852.0,104.0,2.19,69.0,41.886,34.458,4655.7,4972.0,4361.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8001.T,伊藤忠商事,2069.5,35.5,1.75,75.9,35.839,30.194,1953.6,2092.0,1865.5,RSI 75.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8053.T,住友商事,1779.0,30.5,1.74,84.1,34.757,13.685,1612.5,1793.5,1489.0,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 84.1（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,8766.T,東京海上HD,7958.0,141.0,1.8,61.7,105.168,151.328,7869.4,8468.0,7450.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,4661.T,オリエンタルランド,2987.0,33.0,1.12,59.9,129.375,129.888,2774.3,3167.0,2581.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,6902.T,デンソー,1933.0,8.0,0.42,47.6,3.048,20.752,1982.2,2218.0,1884.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,6981.T,村田製作所,7288.0,-133.0,-1.79,47.1,-602.261,-608.097,8300.6,10085.0,5861.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,6594.T,日本電産,2706.0,-46.0,-1.67,68.7,20.415,-5.714,2616.4,2812.0,2406.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,7741.T,HOYA,25545.0,70.0,0.27,53.2,-92.961,-283.637,25046.0,26925.0,23340.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,9101.T,日本郵船,6097.0,166.0,2.8,66.2,154.368,156.313,5729.8,6168.0,5271.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,9107.T,川崎汽船,2848.5,61.5,2.21,61.9,63.231,67.428,2720.0,2900.0,2519.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,9104.T,商船三井,6196.0,160.0,2.65,75.2,155.37,122.326,5696.0,6226.0,5318.0,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 75.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,5411.T,JFEホールディングス,1863.0,4.5,0.24,71.5,55.897,49.189,1735.0,1904.0,1609.0,RSI 71.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,5401.T,日本製鉄,697.6,14.1,2.06,83.8,31.057,25.289,609.6,708.0,549.9,RSI 83.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,4503.T,アステラス製薬,2313.5,25.0,1.09,66.0,21.248,11.538,2188.1,2336.0,2109.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,2503.T,キリンHD,3027.0,100.0,3.42,57.6,39.461,48.064,2912.9,3161.0,2805.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,2502.T,アサヒグループHD,1692.5,23.5,1.41,61.2,28.707,33.404,1640.3,1805.5,1571.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,2914.T,日本たばこ産業,7121.0,91.0,1.29,71.3,245.309,202.888,6484.0,7218.0,6049.0,RSI 71.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,3382.T,セブン＆アイHD,2094.5,43.0,2.1,51.2,22.375,36.763,2074.9,2266.5,1945.5,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-07 14:59:37,2026-08-07,3092.T,ZOZO,1146.0,-2.5,-0.22,42.4,2.581,8.604,1163.0,1242.0,1102.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,3289.T,東急不動産HD,1311.5,21.0,1.63,47.4,-3.114,4.474,1329.8,1402.0,1275.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,3407.T,旭化成,1688.0,22.0,1.32,36.5,-41.438,-18.665,1806.7,1905.0,1558.5,RSI 36.5（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-07 14:59:37,2026-08-07,3401.T,帝人,1745.0,62.5,3.71,58.5,2.994,3.451,1690.5,1768.0,1567.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,3861.T,王子HD,886.8,13.0,1.49,66.0,16.423,17.478,853.1,898.2,814.2,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-07 14:59:37,2026-08-07,3863.T,日本製紙,1404.0,39.0,2.86,44.7,7.986,26.433,1407.5,1599.0,1251.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-07 14:59:37,2026-08-07,4063.T,信越化学工業,6123.0,-44.0,-0.71,25.2,-312.186,-287.824,6692.0,7690.0,5636.0,RSI 25.2（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-07 14:59:37,2026-08-07,4188.T,三菱ケミカルグループ,1222.0,37.5,3.17,56.4,9.972,12.305,1180.2,1232.5,1100.5,ボックス上限タッチ＋上昇（上抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
