分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-04 20:00:28,2026-08-04,7203.T,トヨタ自動車,2918.5,-45.0,-1.52,54.8,46.281,42.599,2912.3,3233.0,2794.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-04 20:00:28,2026-08-04,6758.T,ソニーグループ,3539.0,-50.0,-1.39,59.5,80.579,67.346,3477.8,3964.0,3306.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,8035.T,東京エレクトロン,56700.0,1710.0,3.11,31.2,-3712.285,-2251.653,66287.2,74810.0,48580.0,RSI 31.2（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-04 20:00:28,2026-08-04,6861.T,キーエンス,82900.0,2290.0,2.84,63.7,920.194,-130.031,76715.2,83520.0,68930.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,9983.T,ファーストリテイリング,78700.0,-900.0,-1.13,46.7,-723.879,-606.059,80980.8,88690.0,75440.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-04 20:00:28,2026-08-04,9432.T,NTT,150.4,-2.1,-1.38,50.4,1.624,1.706,150.5,161.2,146.3,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 25点（反発余地あり）,25
2026-08-04 20:00:28,2026-08-04,9433.T,KDDI,2873.5,-29.5,-1.02,53.5,55.549,60.62,2852.3,3121.0,2691.5,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,8306.T,三菱UFJフィナンシャルグループ,3470.0,-97.0,-2.72,43.9,67.687,99.742,3525.7,3813.0,3381.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-04 20:00:28,2026-08-04,8316.T,三井住友フィナンシャルグループ,6515.0,-99.0,-1.5,39.0,46.964,127.735,6833.0,7260.0,6420.0,RSI 39.0（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-04 20:00:28,2026-08-04,4502.T,武田薬品工業,5286.0,-122.0,-2.26,48.4,77.327,110.942,5456.6,5903.0,5249.0,ボックス下限タッチ＋下落（下抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,6098.T,リクルート,12415.0,30.0,0.24,46.1,320.042,410.175,12346.4,13320.0,11905.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-04 20:00:28,2026-08-04,7974.T,任天堂,7558.0,-31.0,-0.41,60.5,156.939,96.899,7241.5,8245.0,6905.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,6501.T,日立製作所,5412.0,111.0,2.09,77.3,134.233,67.941,4860.0,5527.0,4616.0,RSI 77.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,9984.T,ソフトバンクグループ,5228.0,-165.0,-3.06,33.1,-333.518,-306.841,5727.7,6660.0,4500.0,RSI 33.1（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-04 20:00:28,2026-08-04,8058.T,三菱商事,4738.0,-49.0,-1.02,62.3,48.054,31.082,4609.1,4972.0,4361.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,8001.T,伊藤忠商事,1980.0,-15.5,-0.78,62.8,32.01,27.693,1934.0,2048.5,1851.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,8053.T,住友商事,1662.5,2.0,0.12,63.3,11.888,0.071,1590.5,1697.5,1489.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,8766.T,東京海上HD,7709.0,-176.0,-2.23,49.7,157.971,188.115,7801.8,8468.0,7450.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-04 20:00:28,2026-08-04,4661.T,オリエンタルランド,2945.0,-142.0,-4.6,57.6,150.125,127.79,2718.5,3167.0,2537.5,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,6902.T,デンソー,1890.5,-37.5,-1.95,46.0,21.773,33.692,1978.3,2218.0,1884.0,ボックス下限タッチ＋下落（下抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,6981.T,村田製作所,7129.0,-32.0,-0.45,34.0,-726.428,-594.048,8765.5,10380.0,5861.0,RSI 34.0（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-04 20:00:28,2026-08-04,6594.T,日本電産,2718.0,31.0,1.15,58.9,-7.545,-26.389,2609.5,2755.0,2406.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,7741.T,HOYA,25925.0,665.0,2.63,53.4,-291.006,-427.397,25067.0,26055.0,23340.0,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,9101.T,日本郵船,6019.0,-23.0,-0.38,74.7,186.582,157.275,5635.9,6168.0,5070.0,RSI 74.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,9107.T,川崎汽船,2863.0,-5.0,-0.17,77.5,81.748,70.095,2681.4,2900.0,2409.0,RSI 77.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,9104.T,商船三井,6058.0,257.0,4.43,74.8,133.82,100.516,5582.5,6064.0,5171.0,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 74.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,5411.T,JFEホールディングス,1799.5,5.5,0.31,68.9,51.913,43.908,1699.9,1867.5,1609.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,5401.T,日本製鉄,646.0,-1.0,-0.15,79.7,25.988,21.377,591.8,672.8,549.9,RSI 79.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,4503.T,アステラス製薬,2168.5,-7.5,-0.34,53.2,10.527,8.318,2175.0,2305.5,2109.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-04 20:00:28,2026-08-04,2503.T,キリンHD,2856.0,-54.5,-1.87,49.5,48.009,59.011,2894.3,3161.0,2820.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-04 20:00:28,2026-08-04,2502.T,アサヒグループHD,1628.5,-29.0,-1.75,53.3,35.043,37.965,1625.1,1805.5,1571.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,2914.T,日本たばこ産業,6819.0,-174.0,-2.49,70.0,225.659,172.468,6368.0,7218.0,6049.0,RSI 70.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-04 20:00:28,2026-08-04,3382.T,セブン＆アイHD,2032.0,-38.5,-1.86,53.1,40.487,48.784,2065.6,2266.5,1945.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-04 20:00:28,2026-08-04,3092.T,ZOZO,1138.5,-1.0,-0.09,42.2,7.718,13.692,1163.2,1242.0,1102.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
