分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-30 15:21:17,2026-08-28,7203.T,トヨタ自動車,3116.0,39.0,1.27,64.6,42.99,38.485,3027.1,3145.0,2869.5,False,False,True,54.7,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,6758.T,ソニーグループ,3928.0,58.0,1.5,62.4,91.721,85.799,3733.4,3968.0,3515.0,False,False,True,57.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,8035.T,東京エレクトロン,56230.0,230.0,0.41,55.9,-1867.608,-2222.776,56420.0,61650.0,52550.0,True,False,False,20.4,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-30 15:21:17,2026-08-28,6861.T,キーエンス,82960.0,810.0,0.99,44.1,895.85,1343.041,81742.0,87920.0,78690.0,False,False,True,23.9,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,9983.T,ファーストリテイリング,71260.0,40.0,0.06,13.2,-2050.126,-1595.33,76154.2,79801.4,70200.0,False,False,True,62.4,False,RSI 13.2（強い売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 25点（反発余地あり）,25
2026-08-30 15:21:17,2026-08-28,9432.T,NTT,168.6,0.4,0.24,72.4,4.319,3.659,159.7,170.0,149.7,False,False,True,56.5,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 72.4（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,9433.T,KDDI,2922.0,41.5,1.44,44.1,11.941,12.139,2905.0,2990.5,2779.0,True,False,True,100.0,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,8306.T,三菱UFJフィナンシャルグループ,3658.0,50.0,1.39,56.2,18.525,21.751,3592.4,3742.0,3415.0,False,False,True,80.6,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,8316.T,三井住友フィナンシャルグループ,6902.0,108.0,1.59,54.6,-1.246,-2.774,6785.6,7035.0,6420.0,False,False,True,79.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,4502.T,武田薬品工業,5800.0,-9.0,-0.15,67.5,103.643,93.171,5645.3,5906.0,5225.0,False,False,True,27.9,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,6098.T,リクルート,17800.0,830.0,4.89,80.5,1196.732,1101.794,14822.2,17810.0,12085.0,False,False,True,98.2,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 80.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,7974.T,任天堂,8993.0,265.0,3.04,68.1,376.477,366.124,8234.3,9095.0,7403.0,False,False,True,68.9,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,6501.T,日立製作所,5550.0,117.0,2.15,47.0,88.172,114.362,5357.4,5830.0,5166.0,False,False,True,40.3,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,9984.T,ソフトバンクグループ,5161.0,-39.0,-0.75,40.1,-166.663,-153.153,5354.6,6230.0,4882.0,False,False,False,19.7,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,8058.T,三菱商事,4786.0,49.0,1.03,43.8,13.324,19.321,4777.0,4925.0,4581.0,True,False,True,76.5,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,8001.T,伊藤忠商事,2116.5,11.5,0.55,55.1,39.724,35.264,2042.6,2143.0,1940.0,False,False,True,56.9,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,8053.T,住友商事,1775.5,25.5,1.46,47.8,31.975,33.737,1712.4,1824.0,1539.5,False,False,True,78.7,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,8766.T,東京海上HD,7693.0,64.0,0.84,40.8,-58.281,-65.515,7734.1,8235.0,7186.0,True,False,True,69.1,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-30 15:21:17,2026-08-28,4661.T,オリエンタルランド,3039.0,25.0,0.83,57.0,71.561,80.033,2962.4,3167.0,2819.5,False,False,True,100.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,6902.T,デンソー,1915.5,12.0,0.63,47.8,-12.456,-9.24,1961.9,2195.0,1883.5,False,False,True,78.7,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,6981.T,村田製作所,7397.0,88.0,1.2,52.5,-297.085,-343.307,7412.8,8540.0,6770.0,True,False,False,40.1,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-30 15:21:17,2026-08-28,6594.T,日本電産,2626.0,23.0,0.88,41.3,-10.085,5.1,2660.6,2847.0,2470.0,False,False,True,80.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,7741.T,HOYA,24405.0,-60.0,-0.25,34.3,-200.837,-48.724,25235.2,26925.0,23955.0,False,False,True,40.0,False,RSI 34.3（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-30 15:21:17,2026-08-28,9101.T,日本郵船,7115.0,183.0,2.64,79.5,347.448,312.008,6418.0,7405.0,5735.0,False,False,True,91.6,False,RSI 79.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,9107.T,川崎汽船,3382.0,94.0,2.86,79.4,170.582,148.571,3024.8,3591.0,2685.0,False,False,True,86.7,False,RSI 79.4（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,9104.T,商船三井,7096.0,93.0,1.33,76.7,367.624,341.824,6440.7,7509.0,5658.0,False,False,True,74.7,False,RSI 76.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,5411.T,JFEホールディングス,1859.0,20.0,1.09,48.8,29.293,32.728,1824.3,1904.0,1745.0,False,False,True,86.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,5401.T,日本製鉄,677.0,6.0,0.89,41.3,15.07,19.397,667.9,708.0,628.2,False,False,True,68.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,4503.T,アステラス製薬,2370.5,-20.5,-0.86,55.1,50.377,48.474,2306.2,2455.0,2125.0,False,False,False,16.2,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,2503.T,キリンHD,3053.0,4.0,0.13,51.6,42.995,45.802,3007.3,3132.0,2805.5,False,False,True,82.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,2502.T,アサヒグループHD,1670.5,6.5,0.39,45.4,11.496,16.59,1679.5,1753.0,1605.0,True,False,True,100.0,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,2914.T,日本たばこ産業,6948.0,-53.0,-0.76,40.2,119.589,155.984,6916.8,7218.0,6671.0,True,False,False,31.4,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,3382.T,セブン＆アイHD,2001.5,18.5,0.93,31.9,-7.5,-1.132,2045.4,2130.3,1956.4,False,False,True,100.0,False,RSI 31.9（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-30 15:21:17,2026-08-28,3092.T,ZOZO,1148.0,5.0,0.44,49.6,-1.612,-2.875,1145.6,1181.5,1090.0,True,False,True,76.9,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-30 15:21:17,2026-08-28,3289.T,東急不動産HD,1330.5,-7.5,-0.56,57.0,4.553,2.864,1330.7,1363.0,1275.5,True,False,True,40.9,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,3407.T,旭化成,1615.5,-33.5,-2.03,36.8,-39.658,-38.243,1696.0,1895.0,1558.5,False,False,False,13.3,False,RSI 36.8（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-30 15:21:17,2026-08-28,3401.T,帝人,1726.0,-4.0,-0.23,42.4,13.702,17.457,1715.9,1824.0,1567.0,True,False,True,69.6,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,3861.T,王子HD,881.5,4.9,0.56,47.7,7.029,7.873,873.9,890.5,842.5,True,False,True,100.0,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,3863.T,日本製紙,1396.0,-9.0,-0.64,48.5,-0.107,-0.202,1396.1,1464.0,1251.0,True,False,True,65.5,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 50点（反発余地あり）,50
2026-08-30 15:21:17,2026-08-28,4063.T,信越化学工業,6001.0,8.0,0.13,43.9,-168.145,-178.846,6105.4,6508.0,5674.0,False,False,False,0.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-30 15:21:17,2026-08-28,4188.T,三菱ケミカルグループ,1183.5,12.5,1.07,42.1,-2.899,0.442,1173.8,1263.0,1100.5,True,False,True,73.7,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-30 15:21:17,2026-08-28,4208.T,宇部興産,3570.0,10.0,0.28,66.4,86.238,95.317,3425.7,3713.0,3089.0,False,False,True,55.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,4452.T,花王,3635.0,16.0,0.44,48.3,82.389,83.306,3475.8,3782.0,3140.0,False,False,True,83.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-30 15:21:17,2026-08-28,4506.T,大日本住友製薬,1485.0,44.0,3.05,73.5,28.052,10.64,1346.5,1509.5,1188.0,False,False,True,93.3,False,RSI 73.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
