分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-17 11:20:34,2026-08-17,7203.T,トヨタ自動車,3030.0,10.0,0.33,54.5,30.953,33.033,2961.9,3233.0,2857.0,False,False,False,24.1,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-17 11:20:34,2026-08-17,6758.T,ソニーグループ,3821.0,-91.0,-2.33,61.3,99.266,84.432,3591.0,3964.0,3360.0,False,False,False,9.3,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,8035.T,東京エレクトロン,59760.0,630.0,1.07,45.3,-2165.451,-2726.593,61464.4,69780.0,48580.0,False,False,True,52.8,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,6861.T,キーエンス,86330.0,-1330.0,-1.52,71.5,3002.349,2231.064,79037.6,87920.0,68930.0,False,False,False,21.7,False,RSI 71.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,9983.T,ファーストリテイリング,76510.0,-610.0,-0.79,47.1,-883.788,-747.034,78716.0,81680.0,75440.0,False,False,False,43.6,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-17 11:20:34,2026-08-17,9432.T,NTT,162.0,-0.7,-0.43,62.0,3.0,2.296,154.3,163.3,149.2,False,False,False,13.3,False,ボックス上限タッチ＋下落（天井候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,9433.T,KDDI,2833.5,-44.0,-1.53,42.3,11.198,29.874,2891.8,3121.0,2779.0,False,False,False,2.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-17 11:20:34,2026-08-17,8306.T,三菱UFJフィナンシャルグループ,3673.0,-13.0,-0.35,42.4,54.904,58.943,3610.2,3813.0,3411.0,False,False,False,9.2,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-17 11:20:34,2026-08-17,8316.T,三井住友フィナンシャルグループ,6931.0,-38.0,-0.55,42.1,48.678,50.128,6885.8,7260.0,6420.0,True,False,False,13.8,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,4502.T,武田薬品工業,5521.0,-90.0,-1.6,39.5,50.335,60.813,5509.2,5903.0,5225.0,True,False,False,9.2,False,25MAタッチ＋終値下落（反発弱候補・注意） / RSI 39.5（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 30点（反発余地あり）,30
2026-08-17 11:20:34,2026-08-17,6098.T,リクルート,16400.0,-55.0,-0.33,81.9,1171.218,792.097,13382.8,16980.0,11905.0,False,False,False,27.0,False,RSI 81.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,7974.T,任天堂,8817.0,-83.0,-0.93,70.9,376.264,250.699,7619.8,9067.0,6905.0,False,False,False,4.9,False,RSI 70.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,6501.T,日立製作所,5597.0,-170.0,-2.95,74.3,233.159,194.183,5156.7,5830.0,4616.0,False,False,False,24.2,False,RSI 74.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,9984.T,ソフトバンクグループ,5802.0,63.0,1.1,57.4,-95.331,-179.287,5636.8,6032.0,4500.0,False,False,True,93.1,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-17 11:20:34,2026-08-17,8058.T,三菱商事,4729.0,-40.0,-0.84,41.5,37.992,42.041,4724.2,4972.0,4374.0,True,False,False,19.1,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
