分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,判定,反発確度スコア
2026-08-10 12:12:51,2026-08-10,7203.T,トヨタ自動車,2976.0,-4.0,-0.13,52.0,30.673,37.222,2943.6,3233.0,2794.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,6758.T,ソニーグループ,3765.0,44.0,1.18,66.2,81.903,72.429,3535.3,3964.0,3306.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,8035.T,東京エレクトロン,56390.0,1890.0,3.47,34.3,-3446.775,-2995.913,63194.4,74810.0,48580.0,False,False,RSI 34.3（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-10 12:12:51,2026-08-10,6861.T,キーエンス,85220.0,110.0,0.13,75.3,2463.011,1231.722,77509.2,87920.0,68930.0,False,False,RSI 75.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9983.T,ファーストリテイリング,79040.0,-270.0,-0.34,45.0,-633.412,-675.248,80251.6,82440.0,75440.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9432.T,NTT,158.8,0.3,0.19,61.2,2.002,1.692,152.2,161.2,147.8,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9433.T,KDDI,2820.0,-161.0,-5.4,46.1,33.207,48.723,2881.6,3121.0,2779.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,8306.T,三菱UFJフィナンシャルグループ,3507.0,-57.0,-1.6,45.5,41.055,70.191,3569.7,3813.0,3411.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,8316.T,三井住友フィナンシャルグループ,6670.0,-112.0,-1.65,41.5,15.794,66.807,6868.0,7260.0,6420.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,4502.T,武田薬品工業,5580.0,40.0,0.72,50.9,49.659,73.42,5491.6,5903.0,5225.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,6098.T,リクルート,16165.0,3000.0,22.79,74.9,588.686,411.554,12685.8,16165.0,11905.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 74.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,7974.T,任天堂,8230.0,187.0,2.33,72.6,210.402,141.686,7372.6,8269.0,6905.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 72.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,6501.T,日立製作所,5658.0,38.0,0.68,88.0,211.102,139.115,5020.2,5689.0,4616.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 88.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9984.T,ソフトバンクグループ,5523.0,-29.0,-0.52,46.9,-185.309,-250.439,5663.7,6660.0,4500.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,8058.T,三菱商事,4860.0,-8.0,-0.16,61.2,48.473,37.443,4672.5,4972.0,4374.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,8001.T,伊藤忠商事,2097.5,17.5,0.84,74.6,41.562,32.594,1962.3,2098.5,1865.5,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 74.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,8053.T,住友商事,1801.5,13.5,0.76,82.5,43.052,19.668,1621.9,1806.5,1489.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 82.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,8766.T,東京海上HD,7801.0,-138.0,-1.74,47.7,86.661,138.138,7877.4,8468.0,7450.0,True,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,4661.T,オリエンタルランド,3016.0,37.0,1.24,60.6,127.728,129.352,2792.9,3167.0,2582.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,6902.T,デンソー,1924.0,-5.5,-0.29,44.4,-1.269,16.302,1980.8,2218.0,1884.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,6981.T,村田製作所,7211.0,-52.0,-0.72,43.0,-586.643,-604.13,8144.8,10060.0,5861.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,6594.T,日本電産,2791.0,79.0,2.91,74.6,29.992,1.5,2616.8,2812.0,2406.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 74.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,7741.T,HOYA,26260.0,620.0,2.42,57.3,6.699,-224.435,25063.0,26925.0,23340.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9101.T,日本郵船,6158.0,43.0,0.7,66.7,161.075,157.493,5768.4,6189.0,5296.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,9107.T,川崎汽船,2864.0,9.0,0.32,61.1,64.151,66.854,2733.1,2900.0,2520.5,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-10 12:12:51,2026-08-10,9104.T,商船三井,6259.0,73.0,1.18,75.2,169.788,131.688,5738.2,6302.0,5330.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 75.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-10 12:12:51,2026-08-10,5411.T,JFEホールディングス,1849.0,-16.5,-0.88,65.2,55.191,50.413,1745.1,1904.0,1616.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
