分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-03 21:45:09,2026-08-03,7203.T,トヨタ自動車,2963.5,-103.5,-3.37,59.7,56.686,41.696,2906.4,3233.0,2794.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,6758.T,ソニーグループ,3589.0,-198.0,-5.23,65.3,92.276,64.017,3468.2,3964.0,3306.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,8035.T,東京エレクトロン,54990.0,-510.0,-0.92,27.8,-3754.085,-1886.608,67007.2,75290.0,48580.0,RSI 27.8（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,6861.T,キーエンス,80610.0,-540.0,-0.67,57.4,449.345,-392.899,76527.2,83520.0,68930.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,9983.T,ファーストリテイリング,79600.0,1410.0,1.8,45.2,-730.801,-576.64,81208.0,88690.0,75440.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-03 21:45:09,2026-08-03,9432.T,NTT,152.5,0.1,0.07,57.0,2.015,1.726,150.3,161.2,146.2,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,9433.T,KDDI,2903.0,-18.0,-0.62,58.6,64.889,61.892,2846.0,3121.0,2691.5,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,8306.T,三菱UFJフィナンシャルグループ,3567.0,-4.0,-0.11,51.3,84.428,107.764,3515.3,3813.0,3294.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-03 21:45:09,2026-08-03,8316.T,三井住友フィナンシャルグループ,6614.0,-200.0,-2.94,42.2,80.531,147.938,6826.2,7260.0,6420.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-03 21:45:09,2026-08-03,4502.T,武田薬品工業,5408.0,-105.0,-1.9,53.8,107.401,119.355,5452.2,5903.0,5249.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-03 21:45:09,2026-08-03,6098.T,リクルート,12385.0,-165.0,-1.31,50.5,355.845,432.597,12301.6,13320.0,11720.0,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
