分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-24 11:23:39,2026-08-24,7203.T,トヨタ自動車,3100.0,-32.0,-1.02,63.4,40.085,32.979,3001.6,3233.0,2869.5,False,False,False,35.9,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,6758.T,ソニーグループ,3855.0,70.0,1.85,64.1,83.442,82.687,3666.0,3964.0,3440.0,False,False,True,62.1,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,8035.T,東京エレクトロン,55220.0,930.0,1.71,50.5,-2372.873,-2471.951,58040.4,64100.0,48580.0,False,False,True,57.6,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,6861.T,キーエンス,80650.0,750.0,0.94,50.1,1197.106,1900.918,80066.0,87920.0,69950.0,True,False,True,43.3,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-24 11:23:39,2026-08-24,9983.T,ファーストリテイリング,73410.0,-100.0,-0.14,27.5,-1508.785,-1117.756,77622.4,81680.0,72730.0,False,True,False,73.0,False,ボックス下限タッチ＋下落（下抜け警戒） / RSI 27.5（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-24 11:23:39,2026-08-24,9432.T,NTT,166.0,-0.1,-0.06,74.5,3.468,2.857,156.9,167.4,149.7,False,False,False,44.0,False,ボックス上限タッチ＋下落（天井候補） / RSI 74.5（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,9433.T,KDDI,2863.0,-52.5,-1.8,46.6,6.46,14.173,2899.9,3121.0,2779.0,False,False,False,23.6,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,8306.T,三菱UFJフィナンシャルグループ,3484.0,-24.0,-0.68,44.7,9.406,35.286,3596.4,3813.0,3415.0,False,False,False,13.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,8316.T,三井住友フィナンシャルグループ,6557.0,-49.0,-0.74,48.0,-27.145,15.024,6818.1,7260.0,6420.0,False,False,False,18.3,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,4502.T,武田薬品工業,5792.0,28.0,0.49,68.7,95.797,76.922,5597.5,5903.0,5225.0,False,False,False,20.7,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,6098.T,リクルート,15960.0,60.0,0.38,79.0,1071.389,1011.127,14074.8,16980.0,12085.0,False,False,False,55.0,False,RSI 79.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,7974.T,任天堂,8784.0,185.0,2.15,70.9,387.524,344.064,7946.4,9067.0,7071.0,False,False,True,74.5,False,RSI 70.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,6501.T,日立製作所,5294.0,98.0,1.89,49.7,104.476,158.935,5261.7,5830.0,4797.0,True,False,True,51.2,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-24 11:23:39,2026-08-24,9984.T,ソフトバンクグループ,5028.0,-227.0,-4.32,43.8,-144.394,-132.967,5444.1,6230.0,4500.0,False,False,False,0.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,8058.T,三菱商事,4757.0,-37.0,-0.77,48.4,16.694,26.728,4771.9,4966.0,4581.0,True,False,True,61.9,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,8001.T,伊藤忠商事,2105.0,25.0,1.2,63.7,29.736,30.462,2014.4,2114.0,1940.0,False,False,True,96.8,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,8053.T,住友商事,1751.5,42.5,2.49,63.0,30.955,35.469,1682.1,1824.0,1539.5,False,False,True,98.3,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,8766.T,東京海上HD,7340.0,-7.0,-0.1,27.9,-113.541,-40.514,7776.0,8468.0,7186.0,False,False,True,94.1,False,RSI 27.9（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,4661.T,オリエンタルランド,2997.0,-10.0,-0.33,43.5,74.914,90.761,2909.4,3167.0,2708.0,False,False,True,33.3,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,6902.T,デンソー,1945.0,-3.5,-0.18,52.5,-8.645,-5.877,1973.3,2218.0,1883.5,False,False,False,24.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,6981.T,村田製作所,7073.0,-18.0,-0.25,48.8,-348.606,-372.06,7551.7,8540.0,5861.0,False,False,True,32.6,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,6594.T,日本電産,2606.0,-21.0,-0.8,42.8,8.752,22.94,2644.0,2847.0,2447.0,False,False,False,20.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,7741.T,HOYA,24965.0,70.0,0.28,46.8,0.282,73.972,25306.8,26925.0,23340.0,False,False,False,15.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,9101.T,日本郵船,7190.0,89.0,1.25,82.0,343.327,255.804,6215.0,7219.0,5735.0,False,False,True,79.4,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 82.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,9107.T,川崎汽船,3458.0,53.0,1.56,82.3,164.359,114.8,2929.7,3466.0,2685.0,False,False,True,90.1,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 82.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,9104.T,商船三井,7323.0,45.0,0.62,89.2,391.334,286.534,6221.4,7397.0,5658.0,False,False,True,60.4,False,RSI 89.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,5411.T,JFEホールディングス,1842.5,-3.0,-0.16,58.0,32.168,36.814,1804.3,1904.0,1745.0,False,False,False,34.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,5401.T,日本製鉄,665.6,6.2,0.94,56.3,18.713,24.14,655.6,708.0,622.9,False,False,False,22.3,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,4503.T,アステラス製薬,2387.0,0.0,0.0,70.1,50.401,41.359,2268.9,2418.5,2125.0,False,False,False,20.5,False,RSI 70.1（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,2503.T,キリンHD,3037.0,-1.0,-0.03,59.6,43.167,46.553,2981.3,3161.0,2805.5,False,False,False,55.2,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,2502.T,アサヒグループHD,1672.5,-8.0,-0.48,52.3,15.541,21.435,1671.2,1805.5,1605.0,True,False,True,37.0,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,2914.T,日本たばこ産業,6883.0,-97.0,-1.39,45.1,150.244,193.123,6823.8,7218.0,6466.0,True,False,False,5.2,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,3382.T,セブン＆アイHD,2042.5,12.0,0.59,45.6,-2.88,6.505,2085.2,2266.5,1986.0,False,False,False,40.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,3092.T,ZOZO,1138.0,5.0,0.44,49.5,-5.71,-3.151,1146.9,1242.0,1090.0,True,False,True,40.4,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-24 11:23:39,2026-08-24,3289.T,東急不動産HD,1347.5,0.0,0.0,70.2,3.105,-0.071,1330.3,1402.0,1275.5,False,False,False,31.0,False,RSI 70.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,3407.T,旭化成,1625.5,-16.0,-0.97,47.3,-41.444,-35.73,1731.4,1895.0,1558.5,False,False,True,10.9,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-24 11:23:39,2026-08-24,3401.T,帝人,1738.0,-15.0,-0.86,70.8,19.453,18.996,1710.8,1824.0,1567.0,False,False,False,17.3,False,RSI 70.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-24 11:23:39,2026-08-24,3861.T,王子HD,872.1,5.4,0.62,48.3,6.275,9.484,870.1,898.2,842.5,True,False,True,37.3,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-24 11:23:39,2026-08-24,3863.T,日本製紙,1360.0,-36.0,-2.58,51.9,-3.6,2.345,1417.7,1540.0,1251.0,False,False,False,0.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
