分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-20 11:18:05,2026-08-20,7203.T,トヨタ自動車,3050.0,109.0,3.71,43.2,26.592,29.656,2983.1,3233.0,2869.5,False,False,True,79.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,6758.T,ソニーグループ,3773.0,84.0,2.28,48.3,79.798,83.216,3633.3,3964.0,3360.0,False,False,True,50.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,8035.T,東京エレクトロン,53770.0,-890.0,-1.63,53.2,-2413.308,-2515.065,59455.2,68700.0,48580.0,False,False,False,62.7,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,6861.T,キーエンス,79770.0,120.0,0.15,51.7,1773.83,2217.121,79634.0,87920.0,69950.0,True,False,False,25.3,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-20 11:18:05,2026-08-20,9983.T,ファーストリテイリング,76210.0,1270.0,1.69,40.9,-1170.124,-935.684,78049.6,81680.0,74260.0,False,False,True,66.7,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,9432.T,NTT,161.2,1.8,1.13,53.8,2.842,2.57,155.6,163.3,149.2,False,False,False,15.8,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,9433.T,KDDI,2861.0,20.5,0.72,34.7,4.407,18.138,2896.6,3121.0,2779.0,False,False,False,6.8,False,RSI 34.7（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-20 11:18:05,2026-08-20,8306.T,三菱UFJフィナンシャルグループ,3454.0,-41.0,-1.17,45.4,24.103,47.678,3609.3,3813.0,3415.0,False,False,True,57.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,8316.T,三井住友フィナンシャルグループ,6544.0,-24.0,-0.37,46.3,-0.506,35.221,6857.6,7260.0,6420.0,False,False,False,63.1,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,4502.T,武田薬品工業,5823.0,54.0,0.94,54.2,85.928,67.511,5560.5,5903.0,5225.0,False,False,True,83.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,6098.T,リクルート,16100.0,360.0,2.29,75.1,1139.524,967.52,13806.4,16980.0,11905.0,False,False,True,95.0,False,RSI 75.1（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,7974.T,任天堂,8860.0,283.0,3.3,61.5,404.425,321.159,7818.0,9067.0,6910.0,False,False,False,35.2,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,6501.T,日立製作所,5309.0,84.0,1.61,52.4,153.843,186.169,5228.9,5830.0,4795.0,False,False,True,51.6,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,9984.T,ソフトバンクグループ,5448.0,221.0,4.23,62.1,-94.773,-132.869,5528.0,6230.0,4500.0,False,False,True,75.1,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,8058.T,三菱商事,4725.0,77.0,1.66,46.9,17.356,32.593,4755.6,4972.0,4581.0,True,False,True,92.9,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-20 11:18:05,2026-08-20,8001.T,伊藤忠商事,1997.0,20.0,1.01,45.9,21.492,31.841,2000.9,2114.0,1940.0,True,False,True,64.0,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-20 11:18:05,2026-08-20,8053.T,住友商事,1709.0,31.0,1.85,64.8,34.986,38.175,1670.9,1824.0,1539.5,False,False,True,71.8,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,8766.T,東京海上HD,7208.0,-33.0,-0.46,15.8,-99.25,-1.55,7802.4,8468.0,7191.0,False,True,False,2.4,False,ボックス下限タッチ＋下落（下抜け警戒） / RSI 15.8（強い売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-08-20 11:18:05,2026-08-20,4661.T,オリエンタルランド,2977.5,80.0,2.76,52.9,76.143,99.368,2882.0,3167.0,2603.5,False,False,True,85.8,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-20 11:18:05,2026-08-20,6902.T,デンソー,1941.0,53.5,2.83,28.5,-11.809,-4.119,1974.5,2218.0,1883.5,False,False,True,91.2,False,RSI 28.5（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,6981.T,村田製作所,7135.0,-196.0,-2.67,57.4,-322.598,-389.452,7682.3,8817.0,5861.0,False,False,True,39.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-20 11:18:05,2026-08-20,6594.T,日本電産,2665.0,32.0,1.22,62.2,28.881,29.592,2644.9,2847.0,2447.0,True,False,False,22.2,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-20 11:18:05,2026-08-20,7741.T,HOYA,25440.0,25.0,0.1,64.7,152.95,104.51,25335.6,26925.0,23340.0,True,False,False,26.2,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-20 11:18:05,2026-08-20,9101.T,日本郵船,6764.0,31.0,0.46,72.9,273.502,213.978,6088.3,6893.0,5735.0,False,False,True,71.0,False,RSI 72.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
