分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-02 23:53:56,2026-07-31,7203.T,トヨタ自動車,3067.0,-59.0,-1.89,66.8,64.551,37.956,2898.6,3233.0,2794.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,6758.T,ソニーグループ,3787.0,-22.0,-0.58,83.9,100.798,56.965,3452.6,3964.0,3306.0,RSI 83.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,8035.T,東京エレクトロン,55500.0,3260.0,6.24,27.0,-3578.463,-1419.488,67724.4,75290.0,48580.0,RSI 27.0（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,6861.T,キーエンス,81150.0,2180.0,2.76,58.0,75.349,-603.312,76386.8,83520.0,68930.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,9983.T,ファーストリテイリング,78190.0,-310.0,-0.39,38.0,-820.446,-537.856,81386.8,88690.0,75440.0,RSI 38.0（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-02 23:53:56,2026-07-31,9432.T,NTT,152.4,-6.6,-4.15,59.4,2.272,1.654,150.0,161.2,146.1,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,9433.T,KDDI,2921.0,-130.0,-4.26,62.0,72.863,61.15,2837.2,3121.0,2691.5,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-02 23:53:56,2026-07-31,8306.T,三菱UFJフィナンシャルグループ,3571.0,46.0,1.3,55.0,94.695,113.616,3502.4,3813.0,3294.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-02 23:53:56,2026-07-31,8316.T,三井住友フィナンシャルグループ,6814.0,148.0,2.22,50.0,112.137,164.824,6817.2,7260.0,6576.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-02 23:53:56,2026-07-31,4502.T,武田薬品工業,5513.0,-205.0,-3.59,56.8,131.803,122.354,5439.3,5903.0,5249.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
