分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-08-18 11:16:30,2026-08-18,7203.T,トヨタ自動車,3007.0,-6.0,-0.2,49.9,28.687,31.945,2968.6,3233.0,2869.5,False,False,True,69.2,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-18 11:16:30,2026-08-18,6758.T,ソニーグループ,3739.0,-41.0,-1.08,53.5,90.977,85.219,3604.6,3964.0,3360.0,False,False,True,65.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-18 11:16:30,2026-08-18,8035.T,東京エレクトロン,57980.0,-2110.0,-3.51,53.7,-2023.258,-2581.844,60879.2,69780.0,48580.0,False,False,False,20.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-18 11:16:30,2026-08-18,6861.T,キーエンス,85440.0,-1310.0,-1.51,78.0,2910.308,2372.251,79393.2,87920.0,69950.0,False,False,False,15.4,False,RSI 78.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-18 11:16:30,2026-08-18,9983.T,ファーストリテイリング,76060.0,-760.0,-0.99,34.4,-957.614,-785.204,78486.4,81680.0,75300.0,False,False,False,80.0,False,RSI 34.4（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-18 11:16:30,2026-08-18,9432.T,NTT,160.0,-1.5,-0.93,55.6,2.917,2.414,154.7,163.3,149.2,False,False,False,54.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-18 11:16:30,2026-08-18,9433.T,KDDI,2826.5,-7.0,-0.25,38.8,6.386,25.176,2893.2,3121.0,2779.0,False,False,True,58.9,False,RSI 38.8（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-18 11:16:30,2026-08-18,8306.T,三菱UFJフィナンシャルグループ,3696.0,47.0,1.29,52.3,55.714,57.983,3618.7,3813.0,3426.0,False,False,True,81.9,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-18 11:16:30,2026-08-18,8316.T,三井住友フィナンシャルグループ,6993.0,75.0,1.08,51.8,55.989,51.117,6892.5,7260.0,6420.0,False,False,True,90.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-18 11:16:30,2026-08-18,4502.T,武田薬品工業,5688.0,175.0,3.17,47.9,58.759,60.274,5522.1,5903.0,5225.0,False,False,True,98.4,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
