分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,判定,反発確度スコア
2026-08-09 12:03:13,2026-08-07,DHR,Danaher,204.8,4.8,2.39,52.9,2.667,2.23,196.2,209.9,165.8,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,LIN,Linde,490.0,-0.1,-0.03,35.3,-8.052,-5.951,510.1,532.5,466.9,False,False,RSI 35.3（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,WFC,Wells Fargo,87.2,0.2,0.18,54.9,0.854,0.867,86.5,89.7,83.2,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-08-09 12:03:13,2026-08-07,TXN,Texas Instruments,286.1,7.7,2.76,52.2,-4.341,-4.913,287.3,310.4,264.7,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-09 12:03:13,2026-08-07,UPS,United Parcel Service,104.5,1.3,1.26,35.7,-1.324,-0.359,110.7,118.4,102.4,False,False,RSI 35.7（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,NEE,NextEra Energy,84.7,0.1,0.06,32.1,-0.649,-0.147,88.0,91.0,83.5,False,False,RSI 32.1（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,RTX,RTX Corp,223.0,-0.2,-0.1,86.7,8.163,7.215,206.1,225.6,190.0,False,False,RSI 86.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,IBM,IBM,237.3,3.9,1.65,71.9,-6.56,-10.042,239.0,297.5,199.2,True,False,25MAタッチ＋終値上昇（反発強候補） / RSI 71.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-09 12:03:13,2026-08-07,INTC,Intel,101.7,1.8,1.84,54.1,-3.831,-5.445,100.2,109.6,81.8,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,AMD,Advanced Micro Devices,483.4,-5.9,-1.21,46.9,-8.335,-6.076,510.4,574.2,424.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
