銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
7203.T,トヨタ自動車,2897.0,57.1,21.524,7.821,判定なし,20
6758.T,ソニーグループ,3409.0,53.1,23.344,15.812,判定なし,20
8035.T,東京エレクトロン,62660.0,32.9,-331.104,1210.668,判定なし,10
6861.T,キーエンス,71820.0,28.2,-1292.949,-596.362,判定なし,20
9983.T,ファーストリテイリング,76220.0,28.3,-890.12,63.049,判定なし,20
9432.T,NTT,151.3,68.6,1.059,0.665,判定なし,20
9433.T,KDDI,2922.5,87.4,50.521,40.621,ボックス上限タッチ（天井候補）,20
8306.T,三菱UFJフィナンシャルグループ,3754.0,72.8,131.952,112.993,ボックス上限タッチ（天井候補）,20
8316.T,三井住友フィナンシャルグループ,7161.0,68.7,204.919,193.687,ボックス上限タッチ（天井候補）,20
4502.T,武田薬品工業,5648.0,66.6,108.999,86.463,ボックス上限タッチ（天井候補）,20
6098.T,リクルート,12055.0,52.3,433.744,524.5,判定なし,0
7974.T,任天堂,6969.0,43.2,-38.554,-44.047,25MAタッチ（反発候補）,50
6501.T,日立製作所,4850.0,62.2,10.922,-10.806,判定なし,20
9984.T,ソフトバンクグループ,5500.0,40.2,-217.02,-177.046,判定なし,0
8058.T,三菱商事,4918.0,74.7,32.748,-42.727,判定なし,20
8001.T,伊藤忠商事,1957.5,64.2,19.928,9.841,判定なし,20
8053.T,住友商事,1604.0,54.3,-6.616,-15.896,判定なし,20
8766.T,東京海上HD,8116.0,64.8,174.836,135.161,ボックス上限タッチ（天井候補）,20
4661.T,オリエンタルランド,2682.5,61.7,85.938,89.548,判定なし,0
6902.T,デンソー,1977.0,54.7,22.566,19.006,判定なし,20
6981.T,村田製作所,8311.0,28.1,-428.567,-205.248,判定なし,20
6594.T,日本電産,2549.0,30.4,-41.879,-29.497,判定なし,10
7741.T,HOYA,24560.0,37.8,-398.201,-389.108,判定なし,10
9101.T,日本郵船,5946.0,76.5,122.465,54.181,ボックス上限タッチ（天井候補）,20
9107.T,川崎汽船,2806.0,70.6,61.899,34.094,ボックス上限タッチ（天井候補）,20
9104.T,商船三井,5843.0,76.3,79.762,13.561,ボックス上限タッチ（天井候補）,20
5411.T,JFEホールディングス,1726.0,75.3,28.901,16.502,判定なし,20
5401.T,日本製鉄,616.9,88.6,13.822,7.413,ボックス上限タッチ（天井候補）,20
