銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
5214.T,日本電気硝子,5323.0,31.9,-276.545,-236.636,判定なし,10
5332.T,TOTO,7010.0,26.1,-300.888,-176.003,判定なし,20
5406.T,神戸製鋼所,2077.0,79.6,39.23,22.565,判定なし,20
5713.T,住友金属鉱山,8185.0,60.9,-113.039,-224.173,判定なし,20
5802.T,住友電気工業,2184.0,34.6,-167.636,-149.806,判定なし,10
5803.T,フジクラ,4172.0,34.4,-338.208,-242.583,判定なし,10
5901.T,東洋製罐グループHD,4072.0,55.0,30.094,34.372,25MAタッチ（反発候補）,30
6099.T,エラン,771.0,53.6,13.125,14.777,25MAタッチ（反発候補）,30
6301.T,コマツ,6994.0,65.8,132.49,57.125,判定なし,20
6367.T,ダイキン工業,23295.0,17.1,-184.735,16.897,ボックス下限タッチ（底候補）,50
6471.T,日本精工,1152.0,49.1,-12.106,-14.177,25MAタッチ（反発候補）,50
6473.T,ジェイテクト,2216.0,59.6,18.64,11.687,判定なし,20
6503.T,三菱電機,5912.0,51.7,-103.91,-107.392,判定なし,20
6504.T,富士電機,14285.0,60.7,-207.798,-332.64,判定なし,20
6506.T,安川電機,4867.0,20.6,-533.678,-446.403,判定なし,20
6586.T,マキタ,5183.0,39.0,-58.032,-14.848,判定なし,10
6645.T,オムロン,5430.0,35.8,-127.492,-93.832,判定なし,10
6674.T,ジャパンディスプレイ,5482.0,35.6,-301.412,-247.615,判定なし,10
6723.T,ルネサスエレクトロニクス,3442.0,26.2,-303.736,-182.373,判定なし,20
6752.T,パナソニックHD,4284.0,45.6,-97.195,-48.476,判定なし,0
6754.T,アンリツ,3564.0,30.0,-171.418,-125.263,判定なし,10
6762.T,TDK,3008.0,35.2,-174.754,-154.381,判定なし,10
6770.T,アルプスアルパイン,2214.0,65.0,31.361,16.542,判定なし,20
6841.T,横河電機,5782.0,56.9,77.199,85.985,判定なし,0
6857.T,アドバンテスト,32500.0,55.6,-217.292,-206.584,判定なし,0
6954.T,ファナック,7135.0,49.6,-144.473,-158.353,判定なし,20
6971.T,京セラ,3691.0,48.6,15.616,33.291,25MAタッチ（反発候補）,30
7011.T,三菱重工業,3764.0,46.6,-9.189,-1.635,判定なし,0
7012.T,川崎重工業,2763.0,48.7,-54.088,-62.261,25MAタッチ（反発候補）,50
7201.T,日産自動車,336.2,62.3,4.973,1.07,判定なし,20
7267.T,ホンダ,1625.5,67.7,46.556,38.211,判定なし,20
7270.T,SUBARU,2715.5,67.2,71.991,46.936,判定なし,20
7731.T,ニコン,1909.0,29.3,-45.685,3.418,判定なし,20
7733.T,オリンパス,1820.0,59.1,26.776,17.702,判定なし,20
7751.T,キヤノン,4428.0,53.8,81.797,81.712,判定なし,20
8031.T,三井物産,4937.0,71.6,37.533,1.75,判定なし,20
8113.T,ユニ・チャーム,1006.5,66.5,20.403,15.408,判定なし,20
8267.T,イオン,1364.0,48.2,1.193,-2.236,判定なし,20
8308.T,りそなHD,2191.5,37.9,14.01,38.572,判定なし,10
8411.T,みずほフィナンシャルグループ,8167.0,47.8,89.765,166.314,25MAタッチ（反発候補）,30
8591.T,オリックス,6410.0,48.5,56.634,82.031,25MAタッチ（反発候補）,30
8769.T,アドバンスクリエイト,526.0,57.9,7.261,6.037,ボックス上限タッチ（天井候補）,20
8802.T,三菱地所,3893.0,37.3,-31.577,-6.699,ボックス下限タッチ（底候補）,40
9020.T,JR東日本,3676.0,61.2,86.763,68.935,判定なし,20
9022.T,JR東海,3988.0,68.5,155.669,122.484,判定なし,20
9021.T,JR西日本,3001.0,57.5,94.206,88.684,判定なし,20
AAPL,Apple,333.4,64.4,9.243,8.601,判定なし,20
MSFT,Microsoft,451.1,73.6,4.432,-0.0,判定なし,20
AMZN,Amazon,235.5,40.6,-3.635,-2.139,判定なし,0
NVDA,NVIDIA,195.0,37.4,-2.107,-0.737,判定なし,10
META,Meta Platforms,539.0,13.7,-6.441,4.434,判定なし,20
GOOGL,Alphabet Class A,333.7,39.2,-8.152,-6.73,判定なし,10
GOOG,Alphabet Class C,333.7,39.9,-7.625,-6.251,判定なし,10
TSLA,Tesla,308.9,15.1,-25.532,-17.059,判定なし,20
UNH,UnitedHealth Group,421.5,48.1,3.799,5.737,25MAタッチ（反発候補）,30
XOM,Exxon Mobil,157.0,83.4,3.636,2.395,判定なし,20
JNJ,Johnson & Johnson,255.8,48.9,4.56,4.679,25MAタッチ（反発候補）,30
JPM,JPMorgan Chase,350.9,62.1,7.236,7.401,判定なし,0
V,Visa,366.3,64.8,7.197,7.011,判定なし,20
PG,Procter & Gamble,144.0,45.8,-0.115,0.242,判定なし,0
MA,Mastercard,577.3,73.8,14.36,11.855,ボックス上限タッチ（天井候補）,20
HD,Home Depot,333.4,43.0,0.408,1.28,判定なし,0
CVX,Chevron,192.3,75.2,3.708,2.798,判定なし,20
MRK,Merck,129.8,63.1,2.408,2.257,判定なし,20
ABBV,AbbVie,257.4,63.2,6.721,6.992,判定なし,0
PEP,PepsiCo,140.2,55.5,-0.445,-1.266,25MAタッチ（反発候補）,50
KO,Coca-Cola,88.5,63.3,1.478,0.894,判定なし,20
AVGO,Broadcom,387.8,45.0,-2.273,-2.705,判定なし,20
COST,Costco,954.2,64.3,-0.246,-6.248,判定なし,20
WMT,Walmart,111.1,43.3,-1.354,-1.721,判定なし,20
BAC,Bank of America,61.7,62.1,1.363,1.505,判定なし,0
DIS,Disney,96.2,51.3,-0.569,-0.825,25MAタッチ（反発候補）,50
MCD,McDonald's,268.4,42.9,-2.0,-2.523,25MAタッチ（反発候補）,50
CSCO,Cisco Systems,113.6,34.0,-0.627,-0.633,25MAタッチ（反発候補）,60
PFE,Pfizer,24.9,67.1,0.127,-0.01,判定なし,20
TMO,Thermo Fisher Scientific,576.8,71.7,20.458,17.304,判定なし,20
ACN,Accenture,163.3,70.1,3.846,-0.465,判定なし,20
DHR,Danaher,196.2,47.6,1.989,2.422,25MAタッチ（反発候補）,30
LIN,Linde,508.6,32.9,-2.62,-1.274,判定なし,10
WFC,Wells Fargo,85.4,44.7,0.589,1.039,25MAタッチ（反発候補）,30
TXN,Texas Instruments,278.8,30.0,-5.918,-3.749,判定なし,10
UPS,United Parcel Service,105.3,37.3,-0.077,1.323,判定なし,10
NEE,NextEra Energy,87.9,49.8,0.296,0.365,25MAタッチ（反発候補）,30
RTX,RTX Corp,214.4,73.6,7.208,5.487,判定なし,20
IBM,IBM,221.7,24.9,-13.8,-13.258,判定なし,20
INTC,Intel,91.1,36.1,-7.649,-5.939,判定なし,10
AMD,Advanced Micro Devices,485.4,38.8,-9.239,0.929,判定なし,10
NFLX,Netflix,73.2,49.3,-1.599,-2.236,25MAタッチ（反発候補）,50
QCOM,Qualcomm,151.6,16.9,-10.269,-8.782,判定なし,20
SBUX,Starbucks,105.8,49.5,0.447,0.654,判定なし,0
AMAT,Applied Materials,501.8,36.3,-20.183,-6.511,判定なし,10
LOW,Lowe's,210.1,49.8,-1.344,-2.264,判定なし,20
CAT,Caterpillar,809.1,23.4,-31.093,-18.548,判定なし,20
BLK,BlackRock,1098.4,61.5,17.074,11.893,判定なし,20
GE,General Electric,355.0,47.3,1.832,2.6,判定なし,0
HON,Honeywell,241.9,67.4,3.46,1.484,判定なし,20
BA,Boeing,220.9,48.7,-1.512,-2.196,判定なし,20
MDT,Medtronic,85.7,55.1,1.444,1.093,判定なし,20
SPGI,S&P Global,415.0,42.9,3.604,7.466,判定なし,0
GS,Goldman Sachs,1024.9,46.4,-4.072,6.188,判定なし,0
PLD,Prologis,146.2,60.5,1.251,1.228,判定なし,20
ADBE,Adobe,247.9,59.7,6.507,2.872,判定なし,20
NOW,ServiceNow,110.1,52.1,1.23,0.22,判定なし,20
BKNG,Booking Holdings,193.2,62.1,4.926,3.273,判定なし,20
ISRG,Intuitive Surgical,353.0,34.6,-17.008,-16.199,判定なし,10
LMT,Lockheed Martin,574.1,72.3,14.011,7.427,判定なし,20
EL,Estee Lauder,84.9,56.8,0.14,-0.216,判定なし,20
MO,Altria,67.9,39.8,0.256,0.511,ボックス下限タッチ（底候補）,40
DE,Deere,599.5,54.8,6.174,5.671,判定なし,20
C,Citigroup,132.3,37.1,-1.74,-1.223,判定なし,10
T,AT&T,23.2,67.3,0.467,0.168,判定なし,20
VZ,Verizon,46.1,69.4,0.696,0.15,判定なし,20
FDX,FedEx,308.5,43.7,-2.082,-1.746,判定なし,0
SO,Southern Company,94.3,45.2,0.28,0.41,判定なし,0
DUK,Duke Energy,126.3,52.3,0.75,0.692,25MAタッチ（反発候補）,50
AEP,American Electric Power,127.8,30.3,-0.537,0.159,ボックス下限タッチ（底候補）,40
REGN,Regeneron,738.3,74.2,14.83,9.192,ボックス上限タッチ（天井候補）,20
GILD,Gilead Sciences,131.3,52.9,0.724,0.835,25MAタッチ（反発候補）,30
VRTX,Vertex Pharmaceuticals,481.7,47.0,2.134,3.877,判定なし,0
CSX,CSX Corp,50.2,54.0,0.978,1.082,25MAタッチ（反発候補）,30
NSC,Norfolk Southern,333.9,55.4,6.369,6.759,判定なし,0
BDX,Becton Dickinson,165.4,67.0,3.619,2.464,判定なし,20
CL,Colgate-Palmolive,91.6,49.7,0.447,0.511,25MAタッチ（反発候補）,30
MNST,Monster Beverage,97.7,50.7,0.872,1.086,判定なし,0
KDP,Keurig Dr Pepper,31.6,49.2,-0.051,-0.097,25MAタッチ（反発候補）,50
WM,Waste Management,226.3,42.5,2.68,3.804,判定なし,0
ADP,Automatic Data Processing,263.9,64.2,8.781,7.505,判定なし,20
ORCL,Oracle,127.6,40.3,-11.782,-13.385,判定なし,20
CRM,Salesforce,180.7,61.0,3.062,0.878,判定なし,20
PANW,Palo Alto Networks,325.7,49.9,5.259,11.099,判定なし,0
FTNT,Fortinet,154.2,45.2,1.348,3.148,判定なし,0
HCA,HCA Healthcare,395.8,46.5,0.897,-1.908,25MAタッチ（反発候補）,50
LRCX,Lam Research,297.7,37.3,-18.214,-12.008,判定なし,10
MU,Micron Technology,874.7,43.2,-34.624,-19.449,判定なし,0
ZTS,Zoetis,76.0,54.0,-0.318,-0.863,判定なし,20
MAR,Marriott,375.5,49.5,0.201,-1.254,25MAタッチ（反発候補）,50
ETN,Eaton,386.9,42.4,-5.385,-2.163,判定なし,0
EMR,Emerson Electric,148.6,64.0,1.933,0.714,判定なし,20
ROST,Ross Stores,252.6,80.8,6.925,4.072,判定なし,20
TJX,TJX Companies,159.3,69.3,0.612,-0.428,判定なし,20
