分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-09-25 21:31:08,2026-09-25,7203.T,トヨタ自動車,2989.5,20.5,0.69,30.9,-8.728,3.274,3059.2,3269.0,2939.5,False,False,False,43.8,False,RSI 30.9（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-09-25 21:31:08,2026-09-25,6758.T,ソニーグループ,3710.0,47.0,1.28,35.3,-10.832,6.866,3790.3,4070.0,3582.0,False,False,True,55.7,False,RSI 35.3（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-09-25 21:31:08,2026-09-25,8035.T,東京エレクトロン,56520.0,2600.0,4.82,61.2,-1089.396,-1615.383,53920.4,57530.0,49000.0,False,False,True,98.3,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-25 21:31:08,2026-09-25,6861.T,キーエンス,79600.0,2330.0,3.02,60.0,-870.784,-1009.357,78605.6,83865.0,73243.7,False,False,True,80.6,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-25 21:31:08,2026-09-25,9983.T,ファーストリテイリング,68620.0,700.0,1.03,39.8,-1921.353,-2284.665,69772.1,72703.3,65010.0,False,False,False,90.7,False,RSI 39.8（やや弱い） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 30点（反発余地あり）,30
2026-09-25 21:31:08,2026-09-25,9432.T,NTT,176.1,1.2,0.69,51.7,3.952,4.412,172.2,180.1,167.3,False,False,True,76.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-25 21:31:08,2026-09-25,9433.T,KDDI,3039.0,8.0,0.26,57.8,43.145,42.459,2976.7,3111.0,2867.0,False,False,True,70.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-25 21:31:08,2026-09-25,8306.T,三菱UFJフィナンシャルグループ,3714.0,141.0,3.95,52.2,16.75,24.697,3632.7,3795.0,3540.0,False,False,True,95.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-25 21:31:08,2026-09-25,8316.T,三井住友フィナンシャルグループ,6919.0,240.0,3.59,48.0,7.495,25.214,6841.5,7181.0,6663.0,False,False,True,100.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-25 21:31:08,2026-09-25,4502.T,武田薬品工業,5969.0,84.0,1.43,57.7,72.45,61.06,5808.2,6030.0,5557.0,False,False,True,71.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
