分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-09-03 20:53:54,2026-09-03,7203.T,トヨタ自動車,3117.0,-16.0,-0.51,57.5,52.125,47.229,3049.3,3269.0,2918.0,False,False,False,0.0,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,6758.T,ソニーグループ,3895.0,-25.0,-0.64,48.9,98.19,95.968,3790.3,4070.0,3594.0,False,False,False,7.8,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,8035.T,東京エレクトロン,53300.0,190.0,0.36,27.5,-1830.179,-1950.68,55878.0,61650.0,52500.0,False,False,False,44.6,False,RSI 27.5（売られ過ぎ） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-09-03 20:53:54,2026-09-03,6861.T,キーエンス,77980.0,-40.0,-0.05,26.7,96.981,843.786,82838.4,87920.0,77220.0,False,True,False,53.1,False,ボックス下限タッチ＋下落（下抜け警戒） / RSI 26.7（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-09-03 20:53:54,2026-09-03,9983.T,ファーストリテイリング,68000.0,-2400.0,-3.41,18.4,-2306.579,-1910.991,74937.2,79721.8,67760.0,False,True,False,8.5,False,ボックス下限タッチ＋下落（下抜け警戒） / RSI 18.4（強い売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 50点（反発余地あり）,50
2026-09-03 20:53:54,2026-09-03,9432.T,NTT,173.2,-2.0,-1.14,71.3,5.254,4.512,162.7,176.0,149.9,False,False,False,20.0,False,RSI 71.3（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,9433.T,KDDI,2981.5,-4.5,-0.15,62.8,30.164,20.254,2903.3,3020.0,2779.0,False,False,False,18.1,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,8306.T,三菱UFJフィナンシャルグループ,3754.0,70.0,1.9,55.6,43.434,29.953,3590.6,3794.0,3415.0,False,False,True,63.3,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,8316.T,三井住友フィナンシャルグループ,7089.0,118.0,1.69,55.6,59.353,23.588,6779.9,7175.0,6467.0,False,False,True,44.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,4502.T,武田薬品工業,5908.0,84.0,1.44,67.5,100.108,96.217,5658.7,5917.0,5332.0,False,False,True,89.3,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,6098.T,リクルート,16435.0,80.0,0.49,49.8,1002.211,1114.897,15551.8,18215.0,12490.0,False,False,False,34.9,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-03 20:53:54,2026-09-03,7974.T,任天堂,8855.0,34.0,0.39,48.8,334.408,361.236,8465.4,9180.0,7416.0,False,False,True,66.5,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-03 20:53:54,2026-09-03,6501.T,日立製作所,5352.0,17.0,0.32,35.6,66.633,92.762,5435.2,5830.0,5166.0,False,False,False,30.3,False,RSI 35.6（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-09-03 20:53:54,2026-09-03,9984.T,ソフトバンクグループ,5001.0,77.0,1.56,32.9,-172.862,-160.002,5343.4,6230.0,4882.0,False,False,True,46.3,False,RSI 32.9（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-09-03 20:53:54,2026-09-03,8058.T,三菱商事,5059.0,199.0,4.09,64.3,51.207,29.007,4789.8,5123.0,4628.0,False,False,True,68.5,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,8001.T,伊藤忠商事,2212.0,55.0,2.55,67.4,48.898,40.484,2068.3,2228.5,1959.5,False,False,True,62.5,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-03 20:53:54,2026-09-03,8053.T,住友商事,1842.0,54.0,3.02,55.6,40.174,36.151,1747.0,1870.5,1668.0,False,False,True,51.3,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
