分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,陽線,終値位置(%),反発初動,判定,反発確度スコア
2026-09-04 20:56:42,2026-09-04,7203.T,トヨタ自動車,3081.0,-36.0,-1.15,55.0,46.103,47.017,3047.5,3269.0,2927.0,False,False,False,0.0,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-04 20:56:42,2026-09-04,6758.T,ソニーグループ,3885.0,-10.0,-0.26,57.9,90.943,94.961,3793.4,4070.0,3645.0,False,False,False,56.9,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-09-04 20:56:42,2026-09-04,8035.T,東京エレクトロン,53320.0,20.0,0.04,21.9,-1845.267,-1929.45,55921.2,61650.0,52330.0,False,False,True,45.8,False,RSI 21.9（強い売られ過ぎ） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-09-04 20:56:42,2026-09-04,6861.T,キーエンス,77720.0,-260.0,-0.33,27.6,-187.763,637.628,82788.4,87820.0,76850.0,False,False,False,40.5,False,RSI 27.6（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-04 20:56:42,2026-09-04,9983.T,ファーストリテイリング,69100.0,1100.0,1.62,24.9,-2364.939,-2001.736,74575.3,79721.8,67760.0,False,False,True,54.8,False,RSI 24.9（強い売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 25点（反発余地あり）,25
2026-09-04 20:56:42,2026-09-04,9432.T,NTT,172.6,-0.6,-0.35,73.0,5.123,4.634,163.2,176.0,154.0,False,False,False,52.6,False,RSI 73.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-04 20:56:42,2026-09-04,9433.T,KDDI,2981.0,-0.5,-0.02,70.4,31.586,22.522,2900.5,3020.0,2779.0,False,False,True,49.5,False,RSI 70.4（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-04 20:56:42,2026-09-04,8306.T,三菱UFJフィナンシャルグループ,3785.0,31.0,0.83,61.3,51.655,34.303,3601.0,3794.0,3415.0,False,False,False,94.4,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-04 20:56:42,2026-09-04,8316.T,三井住友フィナンシャルグループ,7083.0,-6.0,-0.08,58.1,71.099,33.118,6796.6,7181.0,6467.0,False,False,False,54.8,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-09-04 20:56:42,2026-09-04,4502.T,武田薬品工業,5753.0,-155.0,-2.62,63.3,89.619,94.907,5660.1,5917.0,5432.0,False,False,False,94.6,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
